id,title,researcher,category,phase,description,latitude,longitude,partners,startDate,completionDate,office
X00-DEMO,Block Showcase,Development Team,documentation,Completed,A reference guide demonstrating all available block types in the project dashboard system,30.2672,-97.7431,,2024-01-01,2024-01-01,Austin
X24-RB01,Immersive Learning,Alex Wickes,immersive,Developmental,Exploring immersive technologies and their applications in educational environments,30.2672,-97.7431,,2024-01-01,,Austin
X25-RB01,Sanctuary Spaces,"Katherine Wiley, Braden Haley, Alex Wickes",psychology,Completed,Texas Architect article on interior design aspects that influence sanctuary-type spaces and student self-regulation in elementary schools,30.2672,-97.7431,Sunwest Publishing|Braden Haley,2025-01-15,2025-09-30,Austin
X25-RB02,The Modulizer Part 2,"Agustin Gonzalez, Leah Vander Anden, Alex Wickes",sustainability,Developmental,Experimental design applying massing strategy findings to develop and test multiple design iterations for Flour Bluff CTE,27.67227,-97.27860,UTSA|Amanda|Laura Goff,2025-02-01,,Corpus Christi
X25-RB03,A4LE Design Awards,Alex Wickes,immersive,Developmental,Research supporting A4LE design award submissions with sustainable components and educational design excellence,30.2672,-97.7431,A4LE,2025-01-01,,Austin
X26-RB03,Gyp Concrete and What's That?,Monse Rios,sustainability,Pre-Research,Novel material usage and life cycle impacts focusing on trends in architectural materials and additive manufacturing,30.2772,-97.7431,,2026-01-01,,Austin
X25-RB05,Mass Timber,TBD,sustainability,Pre-Research,Psychological effects of Mass Engineered Timber and natural materials in student housing buildings,30.2572,-97.7531,Wood Works|Timerlyne|Mercer Mass Timber,2025-02-01,,Austin
X25-RB06,Timberlyne Study,Alex Wickes,sustainability,Developmental,Mass Engineered Timber design assist study documenting Timberlyne's workflow and technical considerations,30.2672,-97.7431,Timberlyne|Sansin,2025-05-27,,Austin
X25-RB08,The Modulizer Part 1,"Agustin Gonzalez, Alex Wickes",sustainability,Completed,Energy and design implications of massing strategies in sustainable school architecture using computational design,28.82470,-97.85381,UTSA|Amanda|Laura Goff,2025-01-15,2025-11-30,Corpus Christi
X25-RB09,Project Vision, Alex Wickes,immersive,Pre-Research,Project details to be documented - active research in development,30.2572,-97.7731,,2025-01-01,,Austin
X25-RB10,Project Prism, Alex Wickes,immersive,Pre-Research,Project details to be documented - active research in development,30.2672,-97.7831,,2025-01-01,,Austin
X25-RB11,Let's Focus, Alex Wickes,health-safety,Pre-Research,Project details to be documented - active research in development,30.2772,-97.7931,,2025-01-01,,Austin
X25-RB13,The Modulizer Part 3,Alex Wickes,sustainability,Developmental,Design concept survey analysis for Flour Bluff CTE Center with 65 participant responses across three schematic concepts,27.67227,-97.27860,UTSA|Flour Bluff ISD,2025-10-21,,Corpus Christi
