Question #,Type,Question,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,
1,Location- Which campus are you located?,choices,Lee Freshman High School,Lee High School,Midland Freshman High School,Midland High School,,
2,First Impressions- What did you think when you first saw the furniture?,choices,"Wow, I love it!",It looks interesting,How is this going to work?,I liked the old furniture better,,
3,First Impressions- What piece of furniture caught your eye first?,open,,,,,,
4,Comfort- Have you tested all 4 chairs?,choices,Yes,No,,,,
5,Comfort- Which is your favorite chair?,choices,Chair 1,Chair 2,Chiar 3,Chiar 4,,
6,Comfort- Why is it your favorite chair?,open,,,,,,
7,Comfort- How comfortable is your favorite chair?,choices,Very comfortable,Somewhat comfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Very uncomfortable,
8,Comfort- How long can you comfortably sit in your favorite chair?,choices,Entire class,Most of the time,1/2 of the class,None of the class,,
9,Functionality- Have you tested all 4 tables?,choices,Yes,No,,,,
10,Functionality- Which is your favorite desk?,choices,Desk 1,Desk 2,Desk 3,Desk 3,,
11,Functionality- Why is it your favorite desk?,open,,,,,,
12,Functionality- Which desk gives you enough space to work? (select all that apply),choices,All of them,None of them,Desk 1,Desk 2,Desk 3,Desk 4
13,Functionality- How often are you rearranging the desks during class?,choices,Daily,Weekly,Periodically (as needed),Classroom layout stays the same,,
14,Functionality- Which desk is easiest to move or adjust? (select all that apply),choices,Desk 1,Desk 2,Desk 3,Desk 3,,
15,Functionality- What are your complaints about the desks?,open,,,,,,
16,Style- Is the most comfortable chair also your favorite chair design?,choices,Yes. it's awesome,It's fine,Could be better,Not my style,,
17,Style- If you could redesign anything about the design of the chair what would it be?,open,,,,,,
18,Style- Is your favorite desk also your favorite desk design?,choices,Yes. it's awesome,It’s fine,Could be better,Not my style,,
19,"Style- If you could redesign anything about your favorite desk, what would it be?",open,,,,,,
20,Overall Experience- How does the furniture affect the function of the classroom? ,choices,It's a nice upgrade,No big difference,I liked the old setup more,,,
21,Overall Experience- What is your overall feeling about the new classroom furniture?,open,,,,,,
22,Overall Experience- Is there anything you miss about your old classroom?,open,,,,,,
23,Overall Experience- Any other thoughts or suggesstions?,open,,,,,,
